episode,reward,won,kills
741,852.3517294148663,0,0
742,9571.484960205013,0,2
743,-505.29925409594944,0,0
744,-204.32811349776603,0,0
745,-371.51851192800535,0,0
746,-523.7627519991951,0,0
747,-535.8880236683235,0,0
748,-613.944432645555,0,0
749,-233.25285318924486,0,0
750,-575.6821980707609,0,0
751,-607.2986658801708,0,0
752,-128.01376879294705,0,1
753,-609.4652104747081,0,0
754,16366.890815168128,0,1
755,-2286.3716222844864,0,2
756,-539.6998109223625,0,0
757,-529.507813067565,0,0
758,-525.4769006642698,0,0
759,-425.13514232012176,0,0
760,-283.32762426261087,0,0
761,-464.75228713503225,0,0
762,-560.6172370649997,0,0
763,-511.9103845048535,0,0
764,-854.2778639536,0,0
765,-687.8956261590843,0,0
766,-474.6393725092275,0,0
767,-895.4330645277219,0,0
768,-2321.8702419449,0,0
769,895.496512957814,0,0
770,-722.9000950129099,0,0
771,-1302.8149894252824,0,0
772,423.1041863051147,0,1
773,-522.3319696048998,0,0
774,-506.381884079645,0,0
775,-108.90631662013294,0,0
776,1570.3285634285157,0,1
777,-946.9198185906014,0,0
778,-1201.6125311090277,0,0
779,-1310.105707751727,0,0
780,-529.9560860263914,0,0
781,1311.8630762094817,0,1
782,-906.97770497797,0,0
783,-521.1083437707625,0,0
784,-1233.9147504220089,0,0
785,-1549.2791212263548,0,0
786,318.4332521996289,0,0
787,-542.9597174705544,0,0
788,-513.0947014076495,0,0
789,-678.5288733869937,0,0
790,4245.633469151566,0,0
791,5747.308149063864,0,2
792,-476.92783284650716,0,0
793,-541.0078442471299,0,0
794,36.102779684186714,0,0
795,-557.1045092000304,0,0
796,-383.78568714948904,0,0
797,81887.94469146484,1,2
798,-890.22772880977,0,0
799,-574.3482683307175,0,0
800,-1313.0104092959768,0,0
801,-578.0729222384593,0,0
802,-990.968576892149,0,0
803,-669.2278922167811,0,0
804,-565.2572018775279,0,0
805,-733.6506102406595,0,0
806,-6066.456924743248,0,0
807,335.1027956828782,0,0
808,-516.5948305667845,0,0
809,-6676.3288804492895,0,2
810,1570.4330087191493,0,0
811,-684.8501403269926,0,0
812,-2749.9114195346733,0,0
813,-625.7135172539358,0,0
814,243.7541221561492,0,0
815,-2247.3239053474817,0,1
816,-976.358752952329,0,0
817,-729.6112555150037,0,0
818,-1266.9902279659054,0,0
819,-747.0775544879808,0,0
820,-2002.989983249945,0,0
821,-728.6571462504933,0,0
822,-2580.608571249872,0,0
823,-612.4835831854676,0,0
824,-1925.4587629842438,0,1
825,-512.1006589258989,0,0
826,-3624.5072143612056,0,1
827,-530.3942168143777,0,0
828,-504.1169118757726,0,0
829,-498.1749698172401,0,0
830,-143.19869366649624,0,0
831,-2456.4633417427376,0,0
832,-827.6548392437523,0,0
833,683.9292498071248,0,0
834,-1633.7617392390823,0,0
835,-533.2704656412171,0,0
836,-528.2636195535524,0,0
837,-510.9525564705106,0,0
838,-519.0244888797887,0,0
839,-558.8848223309678,0,0
840,-971.0861683605982,0,0
841,-1021.787312004288,0,0
842,-492.18945243686136,0,0
843,-472.5264515448907,0,0
844,-573.4392261304899,0,0
845,-315.04584222108974,0,0
846,-512.87273324008,0,0
847,233.7588341907565,0,0
848,-713.0201432658753,0,0
849,-582.0098774848915,0,0
850,-514.3048840235857,0,0
851,2229.8740566085235,0,1
852,-528.3698838064373,0,0
853,-491.36293349289815,0,0
854,-1083.8083779657663,0,0
855,-67.89891765062887,0,0
856,-498.3357185019178,0,0
857,-514.4686638985352,0,0
858,217.17519359661372,0,0
859,-499.0766479142543,0,0
860,-502.0623328530947,0,0
861,-513.8487435718417,0,0
862,-546.3297498402266,0,0
863,-251.16259753917,0,0
864,-771.7676030677142,0,0
865,-559.1028889884602,0,0
866,2517.3308249572797,0,1
867,-1403.0784356666,0,0
868,-509.67823690466025,0,0
869,-530.3284663372248,0,0
870,-495.26981123604145,0,0
871,-676.7327814179719,0,0
872,-1151.951140271283,0,0
873,-412.88149629532325,0,0
874,6953.225431538187,0,1
875,-493.30654541401714,0,0
876,-1267.989747693237,0,0
877,-516.3721846394558,0,0
878,-840.9325326148103,0,0
879,-1932.4542349855813,0,0
880,-478.273691069313,0,0
881,-524.3923405354534,0,0
882,-199.96646263535501,0,0
883,-781.3315488317087,0,0
884,-726.8142723768576,0,0
885,-505.109169393645,0,0
886,-496.57777290123187,0,0
887,-364.6774592025147,0,0
888,-1029.424182673813,0,0
889,-734.7712675114578,0,0
890,-228.30410343558515,0,0
891,137.21465900552522,0,0
892,-712.3007994607045,0,0
893,-121.52228504753643,0,0
894,-367.61315372982403,0,0
895,-346.5661395535665,0,0
896,1567.164753284018,0,0
897,1257.040969641327,0,0
898,-508.2927311220075,0,0
899,-906.3688406132269,0,0
900,-504.7459247411254,0,0
901,72871.1468065927,1,3
902,-192.8766399331593,0,1
903,-487.81408198460906,0,0
904,-521.4768424904814,0,0
905,-1075.1767555856663,0,0
906,1678.6683739195926,0,0
907,21.94581234355462,0,1
908,59487.0320761701,0,4
909,558.2394050616604,0,0
910,-515.9343890902059,0,0
911,-509.161006399846,0,0
912,-542.7295909425645,0,0
913,-835.5643223127339,0,0
914,-684.7962145081809,0,0
915,-512.7311945793641,0,0
916,-1239.7609242982894,0,0
917,-804.3935217866976,0,1
918,-688.8135730844161,0,0
919,2054.194657395106,0,1
920,-773.9481778876235,0,0
921,506.15091232757504,0,1
922,-920.0717574393304,0,1
923,-611.9157333278662,0,0
924,-521.1199186511978,0,0
925,-1457.9633718837379,0,0
926,-16.152696441919886,0,0
927,-675.8286170252884,0,0
928,-498.9412653669631,0,0
929,-576.2666525928761,0,0
930,-533.8799046023006,0,0
931,-577.8919417834625,0,0
932,-264.60426592247427,0,0
933,-760.0771330145984,0,0
934,-563.8806966249351,0,0
