timestamp,episode,step,action,action_name,reward,done,score,steps_alive,nearest_food_dx,nearest_food_dy,food_count,has_virus,q_value,td_error
2025-12-07T14:32:21.530524,14,5,1,DOWN,0.7946,0,0,6,-0.078,0.065,68,1,0.0000,3.7220
2025-12-07T14:32:23.399731,14,6,3,RIGHT,0.8079,0,0,7,-0.122,0.083,67,0,0.0000,3.7025
2025-12-07T14:32:25.285899,14,7,3,RIGHT,0.8197,0,0,8,-0.139,-0.012,74,1,0.0000,3.6943
2025-12-07T14:32:27.339642,14,8,1,DOWN,0.8644,0,0,9,-0.115,0.058,90,1,0.0000,3.8050
2025-12-07T14:32:29.237617,14,9,2,LEFT,0.9132,0,0,10,-0.067,0.078,74,1,0.0000,3.8038
2025-12-07T14:32:31.130302,14,10,3,RIGHT,0.8485,0,0,11,-0.010,-0.087,68,1,0.0000,3.6936
2025-12-07T14:32:33.020068,14,11,1,DOWN,0.8565,0,0,12,-0.179,0.080,62,1,0.0000,3.7001
2025-12-07T14:32:34.925946,14,12,0,UP,0.8157,0,0,13,0.126,0.073,63,1,0.0000,3.6790
2025-12-07T14:32:36.808651,14,13,1,DOWN,0.8708,0,0,14,0.176,-0.068,31,1,0.0000,3.7469
2025-12-07T14:32:38.678766,14,14,2,LEFT,0.8613,0,0,15,0.100,0.105,52,1,0.0000,3.6638
2025-12-07T14:32:41.008251,14,15,2,LEFT,0.8633,0,0,16,0.145,-0.005,42,1,0.0000,3.6600
2025-12-07T14:32:42.949278,14,16,3,RIGHT,0.8550,0,0,17,-0.080,0.105,40,1,0.0000,3.6370
2025-12-07T14:32:44.813955,14,17,2,LEFT,0.8804,0,0,18,-0.174,-0.081,33,0,0.0000,3.5961
2025-12-07T14:32:46.686498,14,18,0,UP,0.8876,0,0,19,0.080,0.148,43,1,0.0000,3.6881
2025-12-07T14:32:48.585431,14,19,3,RIGHT,0.9045,0,0,20,-0.156,0.027,44,0,0.0000,3.6829
2025-12-07T14:32:50.519931,14,20,1,DOWN,0.9091,0,0,21,-0.141,0.035,63,1,0.0000,3.6251
2025-12-07T14:32:52.418259,14,21,2,LEFT,0.9135,0,0,22,-0.093,0.124,75,1,0.0000,3.5810
2025-12-07T14:32:54.325437,14,22,1,DOWN,0.9184,0,0,23,-0.155,-0.029,52,1,0.0000,3.6224
2025-12-07T14:32:56.186796,14,23,0,UP,0.8919,0,0,24,-0.071,-0.091,51,0,-3.5005,3.7203
2025-12-07T14:32:58.054794,14,24,0,UP,0.9258,0,0,25,0.178,-0.149,35,0,0.0000,3.5670
2025-12-07T14:32:59.911685,14,25,0,UP,0.9296,0,0,26,-0.115,-0.061,60,0,0.0000,3.6529
2025-12-07T14:33:02.166197,14,26,2,LEFT,0.9332,0,0,27,-0.113,0.116,79,1,0.0000,3.6415
2025-12-07T14:33:03.996972,14,27,1,DOWN,0.9327,0,0,28,0.141,0.006,73,1,0.0000,3.7577
2025-12-07T14:33:06.170936,14,28,1,DOWN,-50.0000,1,0,29,0.175,0.164,48,0,0.0000,3.5869
2025-12-07T14:33:15.533030,15,0,0,UP,0.6573,0,0,1,-0.062,-0.177,38,0,0.0000,3.6395
2025-12-07T14:33:17.493068,15,1,1,DOWN,0.6612,0,0,2,-0.116,-0.080,44,0,-7.1130,3.5792
2025-12-07T14:33:19.585024,15,2,3,RIGHT,-50.0000,1,0,3,-0.064,0.096,25,0,0.0000,3.6470
